uniq_id	city	state	zip
1	Caguas	Puerto Rico	969
2	Trujillo Alto	Puerto Rico	716
3	Arecibo	Puerto Rico	612
4	San Juan	Puerto Rico	901
5	Guaynabo	Puerto Rico	949
6	Carolina	Puerto Rico	949
7	Carolina	Puerto Rico	949
8	Guaynabo	Puerto Rico	959
9	Bayamón	Puerto Rico	901
10	Carolina	Puerto Rico	949
11	Carolina	Puerto Rico	976
12	Guaynabo	Puerto Rico	725
13	Trujillo Alto	Puerto Rico	612
14	Guaynabo	Puerto Rico	983
15	Arecibo	Puerto Rico	901
16	Toa Baja	Puerto Rico	983
17	Caguas	Puerto Rico	969
18	Arecibo	Puerto Rico	725
19	Ponce	Puerto Rico	725
20	Mayagüez	Puerto Rico	680
21	San Juan	Puerto Rico	901
22	Carolina	Puerto Rico	959
23	Bayamón	Puerto Rico	901
24	Caguas	Puerto Rico	976
25	Carolina	Puerto Rico	949
26	Toa Baja	Puerto Rico	949
27	Carolina	Puerto Rico	612
28	Ponce	Puerto Rico	680
29	Carolina	Puerto Rico	725
30	Caguas	Puerto Rico	983
31	Arecibo	Puerto Rico	959
32	Guaynabo	Puerto Rico	680
33	Ponce	Puerto Rico	959
34	Trujillo Alto	Puerto Rico	959
35	Caguas	Puerto Rico	680
36	San Juan	Puerto Rico	969
37	Trujillo Alto	Puerto Rico	976
38	Arecibo	Puerto Rico	680
39	Bayamón	Puerto Rico	976
40	Ponce	Puerto Rico	949
41	Guaynabo	Puerto Rico	680
42	Caguas	Puerto Rico	612
43	Guaynabo	Puerto Rico	901
44	Mayagüez	Puerto Rico	976
45	San Juan	Puerto Rico	725
46	Ponce	Puerto Rico	680
47	San Juan	Puerto Rico	983
48	Carolina	Puerto Rico	976
49	Mayagüez	Puerto Rico	612
50	San Juan	Puerto Rico	680
51	Mayagüez	Puerto Rico	969
52	Carolina	Puerto Rico	901
53	Carolina	Puerto Rico	949
54	Toa Baja	Puerto Rico	969
55	Toa Baja	Puerto Rico	680
56	Toa Baja	Puerto Rico	716
57	Caguas	Puerto Rico	716
58	Caguas	Puerto Rico	983
59	San Juan	Puerto Rico	612
60	Ponce	Puerto Rico	949
61	Guaynabo	Puerto Rico	680
62	Ponce	Puerto Rico	983
63	Bayamón	Puerto Rico	725
64	Toa Baja	Puerto Rico	969
65	Bayamón	Puerto Rico	959
66	Arecibo	Puerto Rico	716
67	Trujillo Alto	Puerto Rico	901
68	Toa Baja	Puerto Rico	959
69	Guaynabo	Puerto Rico	949
70	Toa Baja	Puerto Rico	612
71	Mayagüez	Puerto Rico	983
72	Trujillo Alto	Puerto Rico	976
73	Ponce	Puerto Rico	969
74	Ponce	Puerto Rico	680
75	Caguas	Puerto Rico	976
76	Guaynabo	Puerto Rico	949
77	Guaynabo	Puerto Rico	969
78	Guaynabo	Puerto Rico	901
79	Caguas	Puerto Rico	716
80	Guaynabo	Puerto Rico	612
81	Arecibo	Puerto Rico	959
82	Trujillo Alto	Puerto Rico	612
83	Guaynabo	Puerto Rico	969
84	Guaynabo	Puerto Rico	969
85	Caguas	Puerto Rico	976
86	Carolina	Puerto Rico	901
87	Trujillo Alto	Puerto Rico	976
88	Caguas	Puerto Rico	959
89	Carolina	Puerto Rico	959
90	Toa Baja	Puerto Rico	959
91	Toa Baja	Puerto Rico	983
92	Ponce	Puerto Rico	901
93	Carolina	Puerto Rico	949
94	Arecibo	Puerto Rico	949
95	Guaynabo	Puerto Rico	969
96	Guaynabo	Puerto Rico	901
97	San Juan	Puerto Rico	612
98	San Juan	Puerto Rico	725
99	Arecibo	Puerto Rico	969
100	Mayagüez	Puerto Rico	725
101	Guaynabo	Puerto Rico	976
102	Carolina	Puerto Rico	976
103	Carolina	Puerto Rico	680
104	Arecibo	Puerto Rico	725
105	Carolina	Puerto Rico	959
106	Caguas	Puerto Rico	612
107	Toa Baja	Puerto Rico	976
108	Caguas	Puerto Rico	983
109	Caguas	Puerto Rico	969
110	Ponce	Puerto Rico	983
111	Toa Baja	Puerto Rico	612
112	Trujillo Alto	Puerto Rico	976
113	Carolina	Puerto Rico	680
114	Ponce	Puerto Rico	725
115	Bayamón	Puerto Rico	680
116	Carolina	Puerto Rico	612
117	Mayagüez	Puerto Rico	983
118	Guaynabo	Puerto Rico	969
119	Ponce	Puerto Rico	725
